# kappa, omega
3.141592653589793,2.5514403509235564
3.060050321190522,2.5470426936600656
2.978507988791251,2.5338156676368984
2.8969656563919806,2.51226966832375
2.8154233239927096,2.4830157126125494
2.7338809915934386,2.446783125726986
2.6523386591941676,2.4043844092100297
2.5707963267948966,2.35661268121243
2.4892539943956256,2.304193949595233
2.4077116619963546,2.247782802795095
2.326169329597084,2.187955974185555
2.244626997197813,2.1252061433779788
2.163084664798542,2.0599496227840715
2.08,1.9912963909430108
2.002857142857143,1.9255406511764621
1.9257142857142857,1.85873726
1.8485714285714285,1.79057441
1.7714285714285714,1.7213977840870798
1.6942857142857144,1.6512616983780002
1.6171428571428572,1.5799637360095768
1.54,1.5076766184432717
1.4628571428571429,1.4353823495428242
1.3857142857142857,1.3622144200995547
1.3085714285714285,1.288736671296221
1.2314285714285713,1.2146573728567487
1.1542857142857144,1.1401732497926422
1.0771428571428572,1.0650633967135774
1.0,0.9900591298812897
1.0,0.9899942568712685
0.8571428571428572,0.8503623863936213
0.5,0.49744756841601445
0.2857142857142858,0.2847270187836403
0.1428571428571429,0.14240151614184351
0.9285714285714286,0.9202961096939402
0.7857142857142857,0.779990303761523
0.7142857142857143,0.7096401251592256
0.6428571428571429,0.6391069851722128
0.5714285714285714,0.5683194168271047
0.4285714285714286,0.4266542155612557
0.3571428571428572,0.3557213368345772
0.2142857142857143,0.2136456276249827
0.07142857142857151,0.07125976721940347
0.0,0.0
